relation_id,a,b,type,sector_a,sector_b,same_return_sector
1,1,2,unit,unit,2,0
2,1,3,unit,unit,3,0
3,1,4,unit,unit,7,0
4,1,5,unit,unit,5,0
5,1,6,unit,unit,5,0
6,1,7,unit,unit,7,0
7,1,8,unit,unit,3,0
8,1,9,unit,unit,2,0
9,2,3,transverse,2,3,0
10,2,4,transverse,2,7,0
11,2,5,transverse,2,5,0
12,2,6,transverse,2,5,0
13,2,7,transverse,2,7,0
14,2,8,transverse,2,3,0
15,2,9,return,2,2,1
16,3,4,transverse,3,7,0
17,3,5,transverse,3,5,0
18,3,6,transverse,3,5,0
19,3,7,transverse,3,7,0
20,3,8,return,3,3,1
21,3,9,transverse,3,2,0
22,4,5,transverse,7,5,0
23,4,6,transverse,7,5,0
24,4,7,return,7,7,1
25,4,8,transverse,7,3,0
26,4,9,transverse,7,2,0
27,5,6,return,5,5,1
28,5,7,transverse,5,7,0
29,5,8,transverse,5,3,0
30,5,9,transverse,5,2,0
31,6,7,transverse,5,7,0
32,6,8,transverse,5,3,0
33,6,9,transverse,5,2,0
34,7,8,transverse,7,3,0
35,7,9,transverse,7,2,0
36,8,9,transverse,3,2,0
