paper_id,v6_normalized_body_sha256,v7_normalized_body_sha256,scientific_body_match,v6_chars,v7_chars
A00,da1c313f9d46541956d1ce21810b97e30f6b7232f71703990a53df75a193b9c0,da1c313f9d46541956d1ce21810b97e30f6b7232f71703990a53df75a193b9c0,YES,11870,11870
P00,aa956eee20b45d312982b92a367f2e3850a5ba75c242614807992e14831083d2,aa956eee20b45d312982b92a367f2e3850a5ba75c242614807992e14831083d2,YES,13233,13233
P01,929d27ad19a9fd5185a8461b5a4022885bbdae27120d107a7c0d428882c9f23e,929d27ad19a9fd5185a8461b5a4022885bbdae27120d107a7c0d428882c9f23e,YES,123743,123743
P02,9eceefe712f316f65afdb2f0cb0846a5d461ba98fac78007984c4437bfa59d15,9eceefe712f316f65afdb2f0cb0846a5d461ba98fac78007984c4437bfa59d15,YES,18367,18367
P03,0676a42907be5b971081d5436006da66886f3797e696a3df2e32c2cf2f773221,0676a42907be5b971081d5436006da66886f3797e696a3df2e32c2cf2f773221,YES,14721,14721
P04,677584d042332287c54a8811b44aff5e320b2123f573ddc3d520d85c9b4f7c08,677584d042332287c54a8811b44aff5e320b2123f573ddc3d520d85c9b4f7c08,YES,10624,10624
P05,214bd132f8c852ad7870213dc5a934b84cac0ec9231611c8652b16419ea3a01f,214bd132f8c852ad7870213dc5a934b84cac0ec9231611c8652b16419ea3a01f,YES,11974,11974
P06,386be9d2534cb04606968e734a36f741321a7d68d55ab3d6fca07ef56bb20f54,386be9d2534cb04606968e734a36f741321a7d68d55ab3d6fca07ef56bb20f54,YES,9547,9547
P07,b43382398dcbf58272133d02fd40034941d4c4063272fc336fac4fc771d59d3d,b43382398dcbf58272133d02fd40034941d4c4063272fc336fac4fc771d59d3d,YES,9326,9326
P08,5ccf5fe4a73f4a8ff866abc52565ac7577f0db5548136187a5eb6c460283d392,5ccf5fe4a73f4a8ff866abc52565ac7577f0db5548136187a5eb6c460283d392,YES,10664,10664
P09,fa35c3ff38459543ea61feaf2d3b3354386ee9a74563862a520923105f3b214b,fa35c3ff38459543ea61feaf2d3b3354386ee9a74563862a520923105f3b214b,YES,11245,11245
P10,6f98ff0145930f2861fe9be26b26d1bac3429d492845921ee590e8c70689ea3b,6f98ff0145930f2861fe9be26b26d1bac3429d492845921ee590e8c70689ea3b,YES,10189,10189
P11,378b4865b611c11254d827a0c82cb3a5239249fac8d2dd5dc7b834b4333fdb85,378b4865b611c11254d827a0c82cb3a5239249fac8d2dd5dc7b834b4333fdb85,YES,14893,14893
P12,6aba96e2839d182bcebf1755c618f3eeaa2f25c5989a8c814e1d8ac36f7d5047,b366a3b21347bdbfd40ce0cd38673e744898f2e9becd6b529bb71d7265f7efd9,YES - FORMAT-ONLY TABLE WIDTH/PUNCTUATION NORMALIZATION,10388,10419
P13,1c730f2cd609e380f46d14fd48ae4aee81a0ab42aa7c68a1e541497f7488c738,1c730f2cd609e380f46d14fd48ae4aee81a0ab42aa7c68a1e541497f7488c738,YES,9181,9181
P14,a8d1bb05d5776d2db3fa7b094698260be39a131cc53442611eb3403d24044c95,a8d1bb05d5776d2db3fa7b094698260be39a131cc53442611eb3403d24044c95,YES,10517,10517
P15,24a8b9db7f312721ca51527fe6ce19935933d6241c76f39d4e96e874ea5a40de,24a8b9db7f312721ca51527fe6ce19935933d6241c76f39d4e96e874ea5a40de,YES,10819,10819
P16,67a671d5e088d709e2e0bbc1600e55a71c188b37fc98962a68e107417be4c757,67a671d5e088d709e2e0bbc1600e55a71c188b37fc98962a68e107417be4c757,YES,12891,12891
