source_id,format,bytes,sha256,pages,destination_papers
SRC-001,pdf,1639869,1e2c7641a48f852985f9f497ff202d2871023d375f9c7e1906ce683b604a15df,43,P01
SRC-002,pdf,781409,a31970a501c34e25e6eb323b6a74e2463a710f5fc8b76cfb688ee2d0c711e3c7,110,P03
SRC-003,pdf,598052,cb1cf1c243de6edfa68c1cb45002c1f59005e7a5fe00daab149b6cb75d99ce3e,40,P11
SRC-004,pdf,145670,b3e164695a1e31547ce4bc8f440fe4e17591bb887032efcb982ad35f71f91c3f,18,P11
SRC-005,pdf,107903,a147b7008b26d2838453cc5d6da28d30677db5445dba5c07f05abdbb0ce6357a,12,P12
SRC-006,pdf,414822,3d274d6eaa167bb23a739f8bd113f6b63e9d27707d60fa0c0751618ae71085b9,22,P07;P08
SRC-007,pdf,452708,cd96321e9b7b40763cda76e534dd2c16fc784e895c533218c4409743144865fd,10,P07;P08
SRC-008,pdf,175033,bb34bc232c47af884c25ecaaf03ca05746ee4d888b644a6f2cfa3bfa8923639c,9,P06
SRC-009,pdf,107299,e3291be6d69c7e6daa36bb9e67e584d860766c13401898b025ec01a944ac3bee,13,P05;P15
SRC-010,pdf,64459,515c76c04f94bf43163930dc287270142d06c551272069d4fb59b8a7f8cfe78f,6,P02
SRC-011,pdf,96474,d9b69cd9721b6d6b48496a50da22c3d54860cb38e615ec0c3318687bfac4188b,8,P02
SRC-012,pdf,56078,0571e70481b536e18c9b842a58fa3afac75fcaf89c29dbdd8b738ba92f3d7166,5,P04
SRC-013,pdf,65050,225080e4e10b5e6adcaebd2c3a5d8540a805dcb369da44ec68b8235e1fb74a15,5,P02;P13
SRC-014,pdf,29872809,52d9854eec1fa1ae7ccb50b3a7fddf7b412918b8259a0a0401e0ef9ed8c94667,1739,ALL
SRC-015,pdf,920876,f7a7905740c2f383b6028b1f432eabe8a433cea7b55e98f67763d25ad7da6adc,60,P08;P09
SRC-016,md,19713,f6d21492eedfbbc780d422392a13f4e1bf48e224d88fe3d6eb0913dbff4d7290,,ALL
SRC-017,md,14225,b593f19be01ba3b199c04c9ba6c0f1faa402372ccd6ab75671352ad744cb4308,,P06
SRC-018,py,43809,8131a818abd0bda74f1883b3461c312d4b7888b5715c87e686f5dd77f29b278b,,P03;P16
SRC-019,py,25795,a06bc098301e2a84528b3e68fc4b3b02a20459c293606cfee159e33473f9d12d,,P03;P16
SRC-020,py,10265,bdc361787ada1933bbc196d1a6b2dd223924d06ead131ad1010f93cd3a785bcd,,P03;P16
SRC-021,zip,1543989,d4a64013fb385288a8a48d9d193ca7079b2e1bbddf6f8d458feb8c08ab2b8a2a,,P10
SRC-022,zip,122919,0a2f090fa836802c247aacd6056a170da4549e0d935a63c00eff0f992afec29c,,P06;P07
,,,,,
,,,,,
,,,,,
,,,,,
