z,E,Omega_m,Omega_Lambda,q
0.0,1.0,0.3333333333333333,0.6666666666666666,-0.5
0.01,1.0050374785714875,0.3399995577997038,0.6600004422002963,-0.4900006633004444
0.02,1.010149823871027,0.3466631473588204,0.6533368526411795,-0.48000527896176926
0.03,1.0153368899040356,0.3533215185174768,0.6466784814825235,-0.47001772222378513
0.04,1.0205985172110204,0.3599721459877933,0.6400278540122065,-0.46004178101830984
0.05,1.0259345333239673,0.36661256482324533,0.6333874351767547,-0.450081152765132
0.06,1.0313447532227038,0.37324037234535967,0.6267596276546405,-0.4401394414819607
0.07,1.0368289797904635,0.3798532298639119,0.6201467701360881,-0.43022015520413215
0.08,1.0423870042679286,0.3864488641941375,0.6135511358058626,-0.4203267037087939
0.09,1.0480186067050528,0.39302506897511374,0.6069749310248862,-0.4104623965373293
0.1,1.0537235564099976,0.3995797057940559,0.6004202942059441,-0.4006304413089162
0.11,1.0595016123945573,0.40611070512179037,0.5938892948782095,-0.39083394231731433
0.12,1.065352523815474,0.41261606706514803,0.587383932934852,-0.38107589940227804
0.13,1.0712760304110855,0.4190938619424281,0.580906138057572,-0.37135920708635795
0.14,1.077271862932782,0.4255422306884533,0.5744577693115468,-0.36168665396732014
0.15,1.0833397435707783,0.4319593850960343,0.5680406149039657,-0.35206092235594855
0.16,1.0894793863737549,0.4383436079009326,0.5616563920990671,-0.34248458814860083
0.17,1.0956904976619386,0.4446932527176017,0.5553067472823981,-0.3329601209235973
0.18,1.1019727764332474,0.45100674383315875,0.5489932561668412,-0.32348988425026187
0.19,1.1083259147621396,0.457282575867147,0.5427174241328527,-0.3140761361992792
0.2,1.1147495981908522,0.463519313304721,0.536480686695279,-0.3047210300429185
0.21,1.1212435061127444,0.46971558991091494,0.5302844100890852,-0.2954266151336278
0.22,1.1278073121474843,0.47587010803365337,0.5241298919663467,-0.28619483794952005
0.23,1.134440684507862,0.48198163780311515,0.5180183621968848,-0.2770275432953272
0.24,1.1411432863580278,0.48804901623498964,0.5119509837650105,-0.26792647564751565
0.25,1.1479147761629926,0.4940711462450592,0.5059288537549407,-0.25889328063241107
0.26,1.1547548080292485,0.5000469955824153,0.4999530044175848,-0.24992950662637714
0.27,1.1616630320363992,0.5059755956884514,0.4940244043115485,-0.24103660646732278
0.28,1.1686390945597076,0.5118560404886127,0.48814395951138745,-0.23221593926708112
0.29,1.1756826385835026,0.5176874851236734,0.48231251487632654,-0.22346877231448986
0.3,1.1827933040053955,0.5234691446271146,0.47653085537288536,-0.21479628305932807
0.31,1.1899707279312939,0.5292002925549382,0.4707997074450617,-0.20619956116759264
0.32,1.1972145449612057,0.5348802595740246,0.46511974042597515,-0.19767961063896283
0.33,1.2045243874658578,0.5405084320148914,0.4594915679851088,-0.18923735197766312
0.34,1.211899885854163,0.546084250394453,0.45391574960554726,-0.18087362440832078
0.35,1.2193406688315889,0.5516072079141329,0.44839279208586724,-0.1725891881288008
0.36,1.2268463636494995,0.5570768489384016,0.4429231510615982,-0.1643847265923974
0.37,1.2344165963455505,0.5624927674585621,0.43750723254143786,-0.1562608488121568
0.38,1.2420509919752354,0.5678546055463269,0.4321453944536732,-0.14821809168050976
0.39,1.2497491748346947,0.5731620518014803,0.42683794819851967,-0.14025692229777953
0.4,1.257510768674898,0.5784148397976391,0.4215851602023609,-0.13237774030354138
0.41,1.2653353969073442,0.5836127465298807,0.4163872534701194,-0.12458088020517905
0.42,1.273222682801402,0.5887555908677422,0.41124440913225796,-0.11686661369838686
0.43,1.2811722496734517,0.5938432320168505,0.40615676798314937,-0.10923515197472411
