paper_id,status,pages,source_sha256
P00,PASS,9,739f424941eb4deae7ff6b024b6863c72b067ad8cc054592c662bb23f692a9b8
P01,PASS,43,9fa056d5765299cbb1a0cd7a82ad27213e4f7fad03139279fa8f1bda591c6366
P02,PASS,12,b2677b84f7723c2b2203600e3bff5afbc1f2b237ee70e18a25ac428c2d07c7b5
P03,PASS,9,3a3d77c0a5dd7e37b81cb39b5757126663e69e0fb3396167d3628a6fb837f184
P04,PASS,8,8f792dfa272e613ff830c6b6597405f5b05550b339677079fee8bc663a910b7b
P05,PASS,9,9d8ecaf612e90e3badb6438f44eb72d70c25e8ad65b9e5569f3b48ae4f6e4810
P06,PASS,9,74a9289f822c1fe10e82b08a2f89073a07c41c29350f081c889a9b934f26cf7e
P07,PASS,8,88f2d00fdedc8c4cd62e18ddf951e867af2703534e7af4b538d8101ecada9041
P08,PASS,8,837c04b1e1b2343000e48c9db215fddbb75ef67ee10c7e643d5ce03f97b93c96
P09,PASS,8,73eab14d6c48c92a269804a50dea7fc57e8a6cbed484f5f0627921a9809a6839
P10,PASS,8,8bd3b7120a4b4986beb1d58a08636d7838eddf301ae8908486cd430689fdd1c5
P11,PASS,9,ee2000cfeffd5a8ccb39eea62bedbc5d1c65b02e7309bfef375ed675078eec8b
P12,PASS,7,f912e773d99352718263daff85322afc76808b7752e77a58a4accb527247f1de
P13,PASS,8,54bda3626276c9885072488f1552f686d75d1f6c8f01a7c4ee042cfd2b9a4cfb
P14,PASS,8,6fe7737b49ea19c80ae0d4b698db2ee45e9996002b0a6b81fead0870ad3e2338
P15,PASS,7,fafa576cbb3fe041a7be10a9841554dd7f72ef4fed60f2fa5bd073d6eac2d1ea
P16,PASS,10,599cac8d85281cf88eeddf89d02d2f950baa2b226639b569a63739379677c519
P17,PASS,8,5e1a3601a94d254c33c8075f976723413fc9e290d4cf8e0390c2fa1ff4af4a40
A00,PASS,8,b9b4ba774d86d33579b7c0c2b33976e4d50c4114180cc501ab987dc5e7821acf
